"Variable"	"Coeff"	"p_value"
"Age"	"0.0128762470911362"	"7.11603724612431e-07"
"LGG_abundlow"	"0.000826023228235584"	"0.966862578345038"
"LGG_level_1to6low"	"0.0169419853680228"	"0.411132354972715"
"GenderMale"	"-0.00111922922653354"	"0.957143285989043"
"Feedingbreast_milk"	"0.0308634987923539"	"0.226843926403168"
"Feedingformula"	"0.0423161333823497"	"0.126074644197081"
"PD"	"0.001211970530814"	"3.85179627526711e-06"
"mom_antibiotics_during_deliveryYes"	"0.0193864471673775"	"0.35944370486786"
"baby_antibio_rule_out_sepsisYes"	"0.013315041889317"	"0.721070935349875"
"even_center"	"0.0561003570442337"	"4.96189994776408e-05"
"Richness"	"1.70286929944991e-05"	"5.61197625703613e-07"
"child_in_house_nr"	"0.00294238228465958"	"0.87542391353577"
"siblingsyes"	"0.00402482228953941"	"0.905858647102087"
"roaches_in_past"	"0.0194975765607628"	"0.694095299913756"
"currently_indoor_petsyes"	"0.0259981871286321"	"0.219493939776911"
"frequent_exposure_petboth"	"0.015467542746893"	"0.658727084348241"
"frequent_exposure_petcat"	"-0.00759784514633532"	"0.828009872988713"
"frequent_exposure_petdog"	"0.0317599577738333"	"0.250136707943359"
"viral_illness_since_last_interviewyes"	"0.0416281389597699"	"0.0381835127426422"
